ACCT 5100, "Oil and Gas Accounting", "This course introduces students to the oil and gas industry and its unique accounting and finance issues. The course will introduce oil and gas terminology, analyze the components of an income statement, present book and tax accounting differences and enable you to prepare an economic purchase evaluation for oil and gas producing assets. We will review, discuss and debate current issues relating to the energy industry. Previously offered as a special topics course. Recommended restriction: ACCT-MS or ACTX-MS or C-FNCEACCT or C-FNCEACTX or C-ACCT or C-ACCTACTX graduate students only."
ACCT 5120, "Business Analytics", "Teaches cutting-edge tools and approaches to the analysis of data, including &quot;big data&quot; for effective decision-making. Creates data connoisseurs through hands-on exposure to exploratory and predictive analytics. Application areas covered include Web Marketing, the Internet of Things, Biometric Monitoring, as well as data integration and analysis for online marketing, human resources and operations."
ACCT 5240, "Advanced Financial Accounting", "Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships, not-for-profits and governments. Same as ACCT 4240."
ACCT 5250, "Financial Statement Analysis", "Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes impact of changes to financial statement elements, equity valuation and profitability analysis. Same as ACCT 4250."
ACCT 5450, "Income Taxation of Business Entities", "Provides an overview of the taxation of business entities.  Examines the tax consequences of forming and operating regular corporations, partnerships, limited liability companies, and S corporations."
ACCT 5540, "Accounting Information Systems", "Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system. Same as ACCT 4540."
ACCT 5550, "Data Analytics for Accounting", "Exploration of key components of Data Analytics that are of particular utility to accountants. This course has 2 primary elements to it: (1) Describe the Analytics process using an established data analytics model called the IMPACT cycle, and (2) Illustrate the process in audit, managerial accounting, and financial reporting."
ACCT 5620, "Auditing and Assurance Services", "Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form. Same as ACCT 4620."
ACCT 6000, "Academic Internship in Accounting", "Offers students the opportunity to gain professional work experience in an accounting or tax position while still in school. Provides academically relevant work experience that complements students' studies and enhances their career potential. Includes lectures and a course paper. Students may not preregister for  this course, and they must contact the Director of the concurrent degree program in accounting for approval. Instructor consent required."
ACCT 6350, "Current Issues in Professional Accounting--Accounting Ethics", "Examines the nature of accounting theory and practice from perspectives of economics, law, globalization, accounting, ethics, and moral reasoning. Also explores issues including implications of institutional factors, such as Sarbanes-Oxley, SEC, FASB, IFRS, and capital markets. Counts as senior seminar for Concurrent degree students."
ACCT 6420, "Research and Writing in Income Taxation", "Provides a working knowledge of online tax research methodology.  Examines the sources of tax authority in researching a tax question.  Develops legal writing skills using the CREAC form of writing."
ACCT 6430, "Taxation of Partnerships", "Studies federal income taxation of pass-through entities such as those used by most small businesses in the U.S. Includes creation, operation, distributions, sale of interests and liquidation. Degree credit not granted for this course and LAWS 6167."
ACCT 6620, "Advanced Auditing: Business Risk and Decision Analysis", "Explores contemporary issues, historical developments, and selected topics pertinent to business assurance services by independent accountants. Emphasizes improving both the decision behavior of decision makers and the quality of information, or its context, for decision makers."
ACCT 6700, "Income Taxation", "Emphasizes the fundamentals of the federal income tax system and examines its impact on the individual. Same as LAWS 6007."
ACCT 6900, "Independent Study", "Prior department consent required of instructor under whose direction study is taken. Departmental form required."
ACCT 6940, "Master's Candidate for Degree", "Registration intended for students preparing for a thesis defense, final examination, culminating activity, or completion of degree. Departmental form required."
ACCT 6950, "Master's Thesis", ""
ANTH 5020, "Explorations in Anthropology: MesoAmerican Transitions", "Special topics in cultural and physical anthropology, as well as archaeology. Check with the department for semester offerings. May be repeated up to 9 total credit hours. Same as ANTH 4020."
ANTH 5120, "Advanced Biological Anthropology", "Selected topics in physical anthropology emphasizing faculty specialties. Topics may include population genetics and its application to understanding modern human diversity, human population biology, and primate ecology and evolution. Check with department for semester offerings. May be repeated up to 6 total credit hours. Same as ANTH 4120."
ANTH 5130, "Advanced Osteology", "Detailed study of the human skeleton with special attention to health and demographic conditions in prehistoric cultures and the evaluation of physical characteristics and genetic relationships of prehistoric populations. Same as ANTH 4130."
ANTH 5220, "From Olmec to Aztec: The Archaeology of Mexico", "Examines the archaeology of Mexico from the initial peopling of the Americas to the Spanish conquest of the Aztec empire. Studies origins of complex societies; ancient Mexican cities, states and empires; religion and politics; trade and interaction; ecology and economy; and social organization. Same as ANTH 4220."
ANTH 5400, "Research Methods in Archaeology 2", "Focuses on the design of research including constructing empirical arguments and testing them, data gathering, site formation processes, field strategies (archival resources, mapping, field survey, surface collecting/recording, excavation and preliminary analysis) and artifact analysis as it relates to research design."
ANTH 5460, "Archaeology and Contemporary Society", "Explores the intellectual climate in which archaeology is practiced and how it influences archaeological research and reconstruction, laws, regulations, and ethical issues.  Explores public use of and engagement with archaeology."
