AHUM 1825, "Inclusive Interdisciplinary Data Science for All", "Team-taught module-based course merges data science and the humanities without requiring prior experience in either one. Students will synthesize qualitative and quantitative approaches to urgent research questions and practice putting data to work in the world. They will learn to use data analysis, statistics, and basic programming skills to answer questions of human importance, while applying the central humanities skills of source critique, attention to human motives, contextualization, and argument."
AIRR 1010, "Heritage and Values I", "This course provides an introduction to the Air &amp; Space Forces, encourages students to pursue an AF career or seek additional information to be better informed about the role of the USAF.  The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers.  The course also lays the foundation for becoming an Airman by outlining our heritage and values."
AIRR 1947, "Air Force ROTC Leadership Laboratory", "All AFROTC cadets must attend leadership lab (two hours per week). The laboratory involves a study of Air Force customs and courtesies, drill and ceremonies, career opportunities and the life and work of an Air Force junior officer. Students (cadets) seeking a commission must take this lab in conjunction with their AIRR lecture/course. &quot;Special Students&quot; NOT seeking a commission, are not required or allowed to attend LLAB (Leadership Lab)."
AIRR 2010, "Team and Leadership Fundamentals 1", "This course is designed to provide a fundamental understanding of both leadership and team building. This course teaches students that there are many layers to leadership, including aspects that are not always obvious. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently."
ANTH 1120, "Exploring a Non-Western Culture: Pueblo Indians of the Southwest", "Examines the geography, kinship, politics and religious values of Pueblo Indian peoples of the US Southwest in historical and contemporary context through an anthropological perspective. Specific details of Pueblo Indian languages, cultures, and histories are used to illustrate basic ideas and debates in anthropology including: the concept of culture, the influence of language on thought, the grounding of culture in human biology, religion and reason, the nature of oral traditions, and archaeological interpretation."
ANTH 1125, "Exploring Cultural Diversity in the U.S.", "Examines the geography, kinship, politics and religious values of various cultures in the United States in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours."
ANTH 1140, "Exploring a Non-Western Culture: The Maya", "Explores the culture of the Maya of Central America, emphasizing their material adaptations, social organizations, ideals and values, and artistic achievements in the past and the present."
ANTH 1155, "Exploring Global Cultural Diversity: Religion, Magic, & Witchcraft", "Examines the geography, kinship, politics and religious values of various cultures globally in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours."
ANTH 1155, "Exploring Global Cultural Diversity: The Anthropology of Brazil", "Examines the geography, kinship, politics and religious values of various cultures globally in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours."
ANTH 1155, "Exploring Global Cultural Diversity: Anthropology of Climate Change", "Examines the geography, kinship, politics and religious values of various cultures globally in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours."
ANTH 1155, "Exploring Global Cultural Diversity: Anthropology of the Apocalypse", "Examines the geography, kinship, politics and religious values of various cultures globally in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. May be repeated up to 9 total credit hours."
ANTH 1170, "Exploring Culture and Gender through Film", "Explores the concepts of culture and gender from an anthropological perspective, using films and other media, as well as written texts. By analyzing media about other ways of life, students will learn the basic concepts of cultural anthropology and be able to apply them to any society. In addition, students will learn to think critically about documentary and ethnographic media. Degree credit not granted for this course and CMDP 2820."
ANTH 1190, "Origins of Ancient Civilizations", "Examines origins of the world's first civilizations in Mesopotamia, Egypt, the Indus Valley, Mesoamerica, and the Andes. Covers archaeology of ancient cities, trade, economy, politics, warfare, religion, and ideology. Seeks insights into general processes of cultural evolution."
ANTH 1200, "Culture and Power", "Compares contemporary sociopolitical systems across cultures, from non-Western tribal groups to modern states. Introduces students to anthropological approaches for understanding and analyzing political forces, processes, and institutions that affect cultures such as colonialism, warfare, violence,ethnicity, migration, and globalization."
ANTH 2010, "Introduction to Biological Anthropology 1", "Detailed consideration of human biology, the place of humans in the animal kingdom, primate ecology and fossil evidence for human evolution. Required for ANTH majors."
ANTH 2020, "Human Biological Variation and Adaptation", "Introduction to human biology, variation, and adaptation.  Explores humans as a species through an understanding of biological variation and adaptation. Recommended prerequisite: ANTH 2010."
ANTH 2030, "Laboratory in Biological Anthropology 1", "Lab in human osteology and musculoskeletal system emphasizing comparative primate morphology, adaptation, and the fossil record documenting the natural history of primates. Recommended corequisite: ANTH 2010. Meets the MAPS requirement for natural science: lab, when taken with ANTH 2010."
ANTH 2100, "Introduction to Cultural Anthropology", "Covers current theories in cultural anthropology and discusses the nature of field work. Explores major schools of thought and ethnographic fieldwork in a range of cultures studied by anthropologists. Required for Anthropology majors."
ANTH 2200, "The Archaeology of Human History", "Where do we come from? This course provides a brief introduction to the practice of archaeology and then emphasizes the evidence for major events/transitions in human history over the last 2.5 million years. Required for ANTH majors."
APPM 1235, "Pre-Calculus for Engineers", "Prepares students for the challenging content and pace of the calculus sequence required for all engineering majors. Covers algebra, trigonometry and selected topics in analytical geometry. Prepares students for the calculus courses offered for engineering students. Requires students to engage in rigorous work sessions as they review topics that they must be comfortable with to pursue engineering course work. Structured to accustom students to the pace and culture of learning encountered in engineering math courses.  For more information about the math placement referred to in the &quot;Enrollment Requirements&quot;, please contact your academic advisor. Degree credit not granted for this course and MATH 1021 or MATH 1150. Formerly GEEN 1235."
APPM 1236, "Precalculus Work Group", "Develops and enhances problem solving skills for students enrolled in APPM 1235. Course is conducted in a collaborative learning environment with students working in groups under the guide of a facilitator."
APPM 1340, "Calculus 1 with Algebra, Part A", "Studies selected topics in analytical geometry and calculus: rates of change of functions, limits, derivatives and their applications. This course and APPM 1345 together are equivalent to APPM 1350. The sequence of this course and APPM 1345 is specifically designed for students whose manipulative skills in the techniques of high school algebra and precalculus may be inadequate for APPM 1350.  For more information about the math placement referred to in the &quot;Enrollment Requirements&quot;, please contact your academic advisor."
APPM 1350, "Calculus 1 for Engineers", "Topics in analytical geometry and calculus including limits, rates of change of functions, derivatives and integrals of algebraic and transcendental functions, applications of differentiations and integration. Students who have already earned college credit for calculus 1 are eligible to enroll in this course if they want to solidify their knowledge base in calculus 1. For more information about the math placement referred to in the &quot;Enrollment Requirements&quot;, contact your academic advisor. Degree credit not granted for this course and APPM 1345 or ECON 1088 or MATH 1081 or MATH 1300 or MATH 1310 or MATH 1330."
APPM 1351, "Calculus 1 Work Group", "Provides problem-solving assistance to students enrolled in APPM 1350. Student groups work in collaborative learning environment. Student participation is essential."
APPM 1360, "Calculus 2 for Engineers", "Continuation of APPM 1350. Focuses on applications of the definite integral, methods of integration, improper integrals, Taylor's theorem, and infinite series. Degree credit not granted for this course and MATH 2300."
APPM 1361, "Calculus 2 Work Group", "Provides problem solving assistance for students enrolled in APPM 1360. Conducted in a collaborative learning environment. Student work groups solve calculus problems with assistance of facilitator."
APPM 1650, "Python for Mathematical and Statistical Applications", "Uses Python to teach the fundamentals of computer programming with an emphasis on mathematical and statistical applications. Topics will include data types, data structures, iteration, visualization, and simulations. Techniques covered will be applicable to many scientific and technical fields. No prior programming experience is required."
APPM 2340, "Calculus 3 for Statistics and Data Science", "Covers vectors and vector analysis, partial derivatives and the multivariable Taylor theorem, and multiple integrals. Introduces matrices and statistical applications."
APPM 2350, "Calculus 3 for Engineers", "Covers multivariable calculus, vector analysis, and theorems of Gauss, Green, and Stokes. Degree credit not granted for this course and MATH 2400."
APPM 2351, "Calculus 3 Work Group", "Provides problem solving assistance to students enrolled in APPM 2350. Conducted in a collaborative learning environment. Student work groups solve calculus problems with the assistance of a facilitator."
APPM 2360, "Introduction to Differential Equations with Linear Algebra", "Introduces ordinary differential equations, systems of linear equations, matrices, determinants, vector spaces, linear transformations, and systems of linear differential equations. Credit not granted for this course and both MATH 2130 and MATH 3430."
