ACCT 3220, "Corporate Financial Reporting 1", "First of a two-course sequence intended to provide students with increased fluency in the language of business. Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information."
ACCT 3230, "Corporate Financial Reporting 2", "Second in a two-course sequence building and extending detailed knowledge of preparation, analysis and use of financial statements."
ACCT 3320, "Cost Management", "Provides cost analysis for the support of management decision making. Analyzes activities, cost behavior, role of accounting in planning, financial modeling,and managerial uses of cost data."
ACCT 3440, "Income Taxation of Individuals", "Provides an overview of individual US federal income tax law.  Topics covered include tax formula and tax determination, filing status, gross income and exclusions, deductions, tax credits, and payment procedures."
ACCT 4240, "Advanced Financial Accounting", "Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships, not-for-profits and governments. Same as ACCT 5240."
ACCT 4250, "Financial Statement Analysis", "Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes impact of changes to financial statement elements, equity valuation and profitability analysis. Same as ACCT 5250."
ACCT 4540, "Accounting Information Systems", "Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system.  Same as ACCT 5540."
ACCT 4620, "Auditing and Assurance Services", "Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form. Same as ACCT 5620."
ACCT 4850, "Senior Seminar - Accounting Ethics", "Examines the nature of accounting theory and practice from perspectives of economics, law, globalization, accounting, ethics, and moral reasoning. Explores issues including implications of institutional factors, such as Sarbanes-Oxley, SEC, FASB, IFRS, and capital markets."
ACCT 4900, "Independent Study", "Requires prior consent of dean and instructor under whose direction study is taken. Intended only for exceptionally well-qualified business seniors. Departmental form required."
AHUM 4301, "Gender, Race and Immigration in Germany and Europe", "Introduces students to debates surrounding migration and race in contemporary Germany. Emphasis on reading texts in context using tools of cultural studies, integrating analyses of gender, race, nation, and sexuality. Texts may include film, literature, television, magazine images, etc. Topics include: questioning multiculturalism, self-representation, integration, Islam, citizenship, violence, public space, youth culture, racism and nationalism. Taught in English. Same as WGST 4301 and GRMN 4301 and GRMN 5301."
AIRR 3010, "Leading People and Effective Communication 1", "This course is designed to build on the leadership fundamentals taught in the AS200 level. The cadets will have the opportunity to utilize their skills as they begin a broader leadership role in the detachment. The goal is for cadets and students to have a more in-depth understanding of how to effectively lead people and provide them with the tools to use throughout their detachment leadership roles."
AIRR 4010, "National Security, Leadership Responsibilities/Commissioning Preparation 1", "This course is designed to address the basic elements of national security policy and process.  The cadet will comprehend the air and space power operations as well as understand selected roles of the military in society and current domestic and international issues affecting the military profession."
ANTH 3000, "Primate Behavior", "Surveys naturalistic primate behavior. Emphasizes social behavior, behavioral ecology, and evolution as they lead to an understanding of human behavior."
